athleteId,Name,Coach,season,teamId,conference_level,NBA_Probability,Actual_NBA,oneYears,prev_NBA_Probability,NBA_Prob_Change,High_Transfer,Actual_Transfer,prev_High_Transfer,Transfer_Prob_Change,Team,Actually Entered,Predicted to Enter,Probability of Entering,eventually_NBA,Coach_ID,conference,color
3389.0,Philip Byriel,Mitch Henderson,2021,234,Other,0.0,0.0,1.0,0.0,0.0,0.002,0.0,0.0,0.002,princeton,0.0,0.0,0.0506330822421605,0,234_Mitch_Henderson,,#e87132
3389.0,Philip Byriel,Mitch Henderson,2022,234,Other,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.002,0.001,princeton,0.0,0.0,0.1558639865336808,0,234_Mitch_Henderson,Ivy,#e87132
3389.0,Philip Byriel,Mitch Henderson,2023,234,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,-0.003,,,,,0,234_Mitch_Henderson,Ivy,black
3392.0,Blake Peters,Mitch Henderson,2021,234,Other,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,princeton,0.0,0.0,0.2210388670546114,0,234_Mitch_Henderson,,#e87132
3392.0,Blake Peters,Mitch Henderson,2022,234,Other,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.006,princeton,0.0,0.0,0.2216725373902794,0,234_Mitch_Henderson,Ivy,#e87132
3392.0,Blake Peters,Mitch Henderson,2023,234,Other,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.006,-0.005,princeton,0.0,0.0,0.162705564193946,0,234_Mitch_Henderson,Ivy,#e87132
3394.0,Ryan Duncan,Mitch Henderson,2023,234,Other,0.0,0.0,1.0,0.0,0.0,0.002,0.0,0.0,0.002,princeton,0.0,0.0,0.0905664887964467,0,234_Mitch_Henderson,Ivy,#e87132
3395.0,Deven Austin,Mitch Henderson,2022,234,Other,0.0,0.0,1.0,0.0,0.0,0.003,0.0,0.0,0.003,princeton,0.0,0.0,0.1636348293299728,0,234_Mitch_Henderson,Ivy,#e87132
3396.0,Darius Gakwasi,Mitch Henderson,2021,234,Other,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,princeton,0.0,0.0,0.0718041706827747,0,234_Mitch_Henderson,,#e87132
3396.0,Darius Gakwasi,Mitch Henderson,2023,234,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,princeton,0.0,1.0,0.2492429041207772,0,234_Mitch_Henderson,Ivy,#e87132
3397.0,Jack Scott,Mitch Henderson,2022,234,Other,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,princeton,0.0,0.0,0.1469140771796707,0,234_Mitch_Henderson,Ivy,#e87132
3397.0,Jack Scott,Mitch Henderson,2023,234,Other,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.001,princeton,0.0,0.0,0.1768326343390682,0,234_Mitch_Henderson,Ivy,#e87132
3398.0,Kenny White Jr.,John Pelphrey,2021,291,Other,0.0,0.0,0.0,0.0,0.0,0.0942210417700241,0.0,0.003,0.0912210417700241,tennessee tech,1.0,1.0,0.3084929082928911,0,291_John_Pelphrey,OVC,#d7aa01
3398.0,Kenny White Jr.,Steve Prohm,2022,184,Other,0.0,0.0,0.0,0.0,0.0,0.0533267722615754,0.0,0.0942210417700241,-0.0408942695084487,murray state,1.0,0.0,0.2467795467627635,0,184_Steve_Prohm,OVC,#002144
