Team,W,L,SRS,Pace,ORtg,Season,Coach,Coach_ID
gonzaga ,26,9,23.75,70.4,121.5,2024,Mark Few,102_Mark_Few
grambling,12,22,-12.44,67,99,2024,Donte Jackson,103_Donte_Jackson
grand canyon ,26,8,4.97,72.5,107.5,2024,Bryce Drew,104_Bryce_Drew
green bay,4,28,-13.21,69,100.9,2024,Doug Gottlieb,
hampton,17,16,-5.21,67,107.8,2024,Ivan Thomas,
harvard,12,15,-7.89,66.7,102.1,2024,Tommy Amaker,107_Tommy_Amaker
hawaii,15,16,-3.57,66.7,104.2,2024,Eran Ganot,108_Eran_Ganot
high point ,29,6,5.3,67.1,121.3,2024,Alan Huss,
hofstra,15,18,-4.97,64.9,101.2,2024,Speedy Claxton,110_Speedy_Claxton
holy cross,13,19,-12.54,66.2,104.3,2024,Dave Paulsen,
houston ,35,5,28.45,62.4,116.2,2024,Kelvin Sampson,113_Kelvin_Sampson
houston christian,12,20,-8.17,65.3,101,2024,Craig Doty,
howard,12,20,-12.02,71.5,107.5,2024,Kenneth Blakeney,114_Kenneth_Blakeney
idaho,14,19,-8,67.1,109.3,2024,Alex Pribble,
idaho state,15,15,-3.95,66.7,110.9,2024,Ryan Looney,116_Ryan_Looney
illinois ,22,13,21.59,72.3,114.8,2024,Brad Underwood *,118_Brad_Underwood_*
illinois state,22,14,1.91,66.1,114.2,2024,Ryan Pedon,119_Ryan_Pedon
illinois-chicago,17,14,-0.63,69.1,108.2,2024,Rob Ehsan,
incarnate word,19,17,-5.61,65.4,112.1,2024,Shane Heirman,
indiana,19,13,14.63,69.1,107.7,2024,Mike Woodson,121_Mike_Woodson
indiana state,14,18,-3.15,72.4,109.4,2024,Matthew Graves,
iona,17,17,-8.58,68.6,100.9,2024,Tobin Anderson,84_Tobin_Anderson
iowa,17,16,12.85,71.4,115.1,2024,Fran McCaffery,124_Fran_McCaffery
iowa state ,25,10,22.33,69.4,114.1,2024,T.J. Otzelberger,125_T.J._Otzelberger
iu indy,10,22,-11.52,66.8,112,2024,Paul Corsaro,
jackson state,16,18,-9.39,70.1,100.4,2024,Mo Williams,6_Mo_Williams
jacksonville,19,14,-4.29,68.7,104.5,2024,Jordan Mincy,127_Jordan_Mincy
jacksonville state,23,13,1.76,66,110.9,2024,Ray Harper,128_Ray_Harper
james madison,20,12,-1.72,65.9,111.2,2024,Preston Spradlin,181_Preston_Spradlin
kansas ,21,13,20.09,69.2,108.7,2024,Bill Self,131_Bill_Self
kansas city,13,20,-5.66,66.3,109.1,2024,Marvin Menzies,130_Marvin_Menzies
kansas state,16,17,10.89,67.9,103.9,2024,Jerome Tang,132_Jerome_Tang
kennesaw state,19,14,0.5,71.6,106.1,2024,Antoine Pettway,
kent state,24,12,1.42,67.7,108.2,2024,Rob Senderoff,134_Rob_Senderoff
kentucky ,24,12,21.26,72.2,116.5,2024,Mark Pope,18_Mark_Pope
la salle,14,19,-3.64,69.6,103.1,2024,Fran Dunphy,137_Fran_Dunphy
lafayette,13,20,-10.19,65.9,102.8,2024,Mike McGarvey,138_Mike_Jordan
lamar,20,13,-2.17,66.8,104.2,2024,Alvin Brooks,139_Alvin_Brooks
le moyne,9,23,-17.81,69,104.6,2024,Nate Champion,
lehigh,11,19,-10.29,67.3,103.6,2024,Brett Reed,141_Brett_Reed
liberty ,28,7,7.42,67.1,112.7,2024,Ritchie McKay,142_Ritchie_McKay
lindenwood,16,17,-13.17,70.6,99.3,2024,Kyle Gerdeman,366_Kyle_Gerdeman
lipscomb ,25,10,4.39,68,115.2,2024,Lennie Acuff,143_Lennie_Acuff
little rock,19,14,-6.86,68.1,101.1,2024,Darrell Walker,144_Darrell_Walker
long beach state,7,25,-10.29,65.9,100.8,2024,Chris Acker,
long island university,17,16,-10.97,65.5,101.5,2024,Rod Strickland,146_Rod_Strickland
longwood,18,14,-4.63,70.6,110.8,2024,Griff Aldrich,147_Griff_Aldrich
louisiana,12,21,-10.7,66.7,97.4,2024,Derrick Zimmerman,
louisiana state,14,18,9.93,69.5,105,2024,Matt McMahon,184_Matt_McMahon
louisiana tech,20,12,1.45,66.6,109.1,2024,Talvin Hester,149_Talvin_Hester
ul monroe,7,25,-15.1,68.7,99.6,2024,Keith Richard,316_Keith_Richard
louisville ,27,8,18.49,69,113.3,2024,Pat Kelsey,46_Pat_Kelsey
loyola (il),25,12,3.41,67.4,108,2024,Drew Valentine,151_Drew_Valentine
loyola (md),12,19,-11.85,67,102.8,2024,Josh Loeffler,
loyola marymount,17,15,1.2,68.7,103.6,2024,Stan Johnson,153_Stan_Johnson
maine,20,14,-6.58,67.1,105.2,2024,Chris Markwood,154_Chris_Markwood
manhattan,17,14,-7.67,67.5,110.8,2024,John Gallagher,
marist,20,10,-8.95,64.2,101.5,2024,John Dunne,156_John_Dunne
marquette ,23,11,18.19,68.1,111.6,2024,Shaka Smart,157_Shaka_Smart
marshall,20,13,-2.26,69.2,109,2024,Cornelius Jackson,
maryland ,27,9,23.33,70.4,114.8,2024,Kevin Willard,263_Kevin_Willard
maryland-baltimore county,13,19,-11.56,71.6,110,2024,Jim Ferry,317_Jim_Ferry
maryland-eastern shore,6,25,-20.65,68.7,98.2,2024,Cleo Hill Jr.,
massachusetts,12,20,-3.08,71,101.2,2024,Frank Martin,266_Frank_Martin
massachusetts-lowell,17,15,-7.64,70.3,112.2,2024,Pat Duquette,318_Pat_Duquette
mcneese,28,7,9.14,66.4,115.3,2024,Will Wade,162_Will_Wade
memphis ,29,6,12.15,71.2,111,2024,Anfernee Hardaway,163_Anfernee_Hardaway
mercer,14,19,-8.44,72.4,103.9,2024,Ryan Ridder,325_Ryan_Ridder
mercyhurst,15,16,-15.65,65.4,102.6,2024,Gary Manchel,
merrimack,18,15,-4.65,64.7,100.7,2024,Joe Gallo,166_Joe_Gallo
miami (fl),7,24,0.38,67.6,108.6,2024,Jim Larranaga,168_Jim_Larranaga
miami (oh),25,9,-0.92,70.6,113.8,2024,Travis Steele,359_Travis_Steele
michigan ,27,10,20.21,70.7,109.5,2024,Dusty May,86_Dusty_May
michigan state ,30,7,22.43,69,112.3,2024,Tom Izzo,169_Tom_Izzo
middle tennessee,22,12,2.52,69.2,108.1,2024,Nick McDevitt,171_Nick_McDevitt
milwaukee,21,11,0.35,69.9,111.4,2024,Bart Lundy,172_Bart_Lundy
minnesota,15,17,8.48,63.8,104.6,2024,Ben Johnson,173_Ben_Johnson
mississippi ,24,12,18.28,69.2,110.8,2024,Chris Beard,295_Chris_Beard
mississippi state ,21,13,17.14,69.6,113,2024,Chris Jans,192_Chris_Jans
mississippi valley state,3,28,-34.6,66.6,81.3,2024,George Ivory,175_George_Ivory
missouri ,22,12,19.49,69.8,119.4,2024,Dennis Gates,53_Dennis_Gates
missouri state,9,23,-3.94,64.6,102.4,2024,Cuonzo Martin,177_Cuonzo_Martin
monmouth,13,20,-8.14,67.3,103.3,2024,King Rice,178_King_Rice
montana ,25,10,-1.45,68,112.3,2024,Travis DeCuire,179_Travis_DeCuire
montana state,15,18,-2.77,66.7,106.6,2024,Matt Logie,
morehead state,15,17,-13.65,65.8,100.2,2024,Jonathan Mattox,
morgan state,14,18,-15.13,73,108.2,2024,Kevin Broadus,182_Kevin_Broadus
mount st. mary's ,23,13,-7.91,68,101.7,2024,Donny Lind,
murray state,16,17,0.81,65.8,106.7,2024,Steve Prohm,184_Steve_Prohm
navy,15,19,-9.9,66.8,105.5,2024,Ed DeChellis,187_Ed_DeChellis
nc state,12,19,5.56,65.8,105.4,2024,Kevin Keatts,185_Kevin_Keatts
nebraska,21,14,13.86,69,108.5,2024,Fred Hoiberg,188_Fred_Hoiberg
nevada,17,16,9.44,64.9,110.6,2024,Steve Alford,189_Steve_Alford
nevada-las vegas,18,15,6.65,66,104.9,2024,Kevin Kruger,322_Kevin_Kruger
