Team,W,L,SRS,Pace,ORtg,Season,Coach,Coach_ID
stephen f. austin,19,13,0.73,70.9,104.9,2022,Kyle Keller *,282_Kyle_Keller_*
stetson,17,14,-2.83,65.8,113.9,2022,Donnie Jones *,283_Donnie_Jones_*
stonehill,14,17,-12.86,67.5,98,2022,Chris Kraus,284_Chris_Kraus
stony brook,11,22,-12.45,65.1,96.7,2022,Geno Ford,285_Geno_Ford
syracuse,17,15,5.39,68.3,107.7,2022,Jim Boeheim *,286_Jim_Boeheim_*
tarleton state,17,17,-0.76,69.1,103.4,2022,Billy Gillispie,288_Billy_Gillispie
tcu ,22,13,15.61,70.9,105.8,2022,Jamie Dixon,287_Jamie_Dixon
temple,16,16,4.68,67.1,101.8,2022,Aaron McKie,289_Aaron_McKie
tennessee ,25,11,20.84,65.9,107,2022,Rick Barnes,292_Rick_Barnes
tennessee state,18,14,-9.01,72.8,107.2,2022,Brian Collins,290_Brian_Collins
tennessee tech,16,17,-9.4,69.3,103.5,2022,John Pelphrey,291_John_Pelphrey
tennessee-martin,19,14,-8.67,73.5,108.3,2022,Ryan Ridder,325_Ryan_Ridder
texas ,29,9,20.56,70.1,110.1,2022,Rodney Terry,295_Chris_Beard
texas a&m ,25,10,13.76,67.1,108.5,2022,Buzz Williams,293_Buzz_Williams
texas a&m-corpus christi ,24,11,-2.57,71.7,110.9,2022,Steve Lutz,294_Steve_Lutz
texas southern ,14,21,-10.56,70.9,95.6,2022,Johnny Jones,296_Johnny_Jones
texas state,16,19,-2.32,64.9,101.7,2022,Terrence Johnson,297_Terrence_Johnson
texas tech,16,16,12.58,68.9,105.7,2022,Corey Williams,298_Mark_Adams
texas-rio grande valley,15,17,-6.48,74.3,105.1,2022,Matt Figger,326_Matt_Figger
the citadel,10,22,-12.13,68.2,98.9,2022,Ed Conroy,299_Ed_Conroy
toledo,27,8,5.76,70.8,120.6,2022,Tod Kowalczyk,300_Tod_Kowalczyk
towson,21,12,0.24,65.7,108.1,2022,Pat Skerry,301_Pat_Skerry
troy,20,13,1.39,69.2,105,2022,Scott Cross,302_Scott_Cross
tulane,20,11,5.46,74,106.3,2022,Ron Hunter,303_Ron_Hunter
tulsa,5,25,-8.48,68.7,94.2,2022,Eric Konkol,149_Eric_Konkol
uab,29,10,10.96,70.6,111.2,2022,Andy Kennedy,305_Andy_Kennedy
uc davis,18,14,-0.31,70.9,104.2,2022,Jim Les,307_Jim_Les
uc irvine,23,12,4.16,70,106.4,2022,Russ Turner,308_Russ_Turner
uc riverside,22,12,0.72,67.4,105.9,2022,Mike Magpayo,309_Mike_Magpayo
uc san diego,10,20,-6.94,67,99.9,2022,Eric Olen,310_Eric_Olen
uc santa barbara ,27,8,3.3,65.5,109.1,2022,Joe Pasternack,311_Joe_Pasternack
ucf,19,15,11.09,66.1,105.5,2022,Johnny Dawkins Jr,312_Johnny_Dawkins_Jr
ucla ,31,6,22.11,67.2,110.3,2022,Mick Cronin,
unc asheville ,27,8,-1.74,69.3,105.8,2022,Mike Morrell,319_Mike_Morrell
unc greensboro,20,12,1.66,67.2,106.4,2022,Mike Jones,320_Mike_Jones
unc wilmington,24,10,-1.17,65.4,104.2,2022,Takayo Siddle,321_Takayo_Siddle
ut arlington,11,21,-4.98,67.6,97.9,2022,Greg Young,324_Greg_Young
utah,17,15,11.34,66.5,102.9,2022,Craig Smith,
utah state ,26,9,14.23,69.2,112.6,2022,Ryan Odom,329_Ryan_Odom
utah tech,14,19,-0.16,70.8,105.9,2022,Jon Judkins,330_Jon_Judkins
utah valley,28,9,8.48,72.2,105.8,2022,Mark Madsen,332_Mark_Madsen
utep,14,18,-0.74,68.3,97.7,2022,Joe Golding,327_Joe_Golding
utsa,10,22,-7.74,69.5,98.9,2022,Steve Henson,328_Steve_Henson
valparaiso,11,21,-8.72,68.7,98.1,2022,Matt Lottich,335_Matt_Lottich
vanderbilt,22,15,8.98,67,106.6,2022,Jerry Stackhouse,336_Jerry_Stackhouse
vermont ,23,11,1.63,65.5,109.7,2022,John Becker,337_John_Becker
villanova,17,17,10.61,65,106.7,2022,Kyle Neptune *,91_Kyle_Neptune
virginia ,25,8,13.28,62.5,108.1,2022,Tony Bennett,339_Tony_Bennett
virginia commonwealth ,27,8,9.89,68.3,103.8,2022,Mike Rhoades,333_Mike_Rhoades
vmi,7,25,-16.14,67.5,101.9,2022,Andrew Wilson,334_Andrew_Wilson
virginia tech,19,15,9.36,66.8,110.5,2022,Mike Young,340_Mike_Young
wagner,15,13,-11.81,63.5,98.5,2022,Donald Copeland,341_Donald_Copeland
wake forest,19,14,8.25,70.1,108.5,2022,Steve Forbes,342_Steve_Forbes
washington,16,16,6.78,69.2,98.4,2022,Mike Hopkins,
washington state,17,17,10.53,64.8,105.1,2022,Kyle Smith,
weber state,18,15,-2.94,65.7,100.5,2022,Eric Duft,345_Eric_Duft
west virginia ,19,15,15.95,69.6,108.8,2022,Bob Huggins,347_Bob_Huggins
western carolina,18,16,-6.34,68.3,106.2,2022,Justin Gray,348_Justin_Gray
western illinois,16,14,-7.59,68.8,105.7,2022,Rob Jeter,349_Rob_Jeter
western kentucky,17,16,-0.81,68.4,103.5,2022,Rick Stansbury,350_Rick_Stansbury
western michigan,8,23,-10.55,66.7,104.8,2022,Dwayne Stephens,351_Dwayne_Stephens
wichita state,17,15,5.78,67.8,103.1,2022,Isaac Brown,352_Isaac_Brown
william & mary,13,20,-10.99,65.3,102.6,2022,Dane Fischer,353_Dane_Fischer
winthrop,15,17,-6.63,67.8,108.4,2022,Mark Prosser,354_Mark_Prosser
wisconsin,20,15,10.98,63.2,101.1,2022,Greg Gard,355_Greg_Gard
wofford,17,16,-5.02,66.4,110.8,2022,Dwight Perry,356_Jay_McAuley
wright state,18,15,-2.34,72,108.5,2022,Scott Nagy,357_Scott_Nagy
wyoming,9,22,2.02,66.4,103.7,2022,Jeff Linder,358_Jeff_Linder
xavier ,27,10,16.03,72,112.1,2022,Sean Miller *,359_Sean_Miller_*
yale,21,9,7.81,67.5,111.3,2022,James Jones,360_James_Jones
youngstown state,24,10,1.67,69.5,115.8,2022,Jerrod Calhoun,361_Jerrod_Calhoun
abilene christian,25,11,2.25,71.9,105.2,2021,Brette Tanner,1_Brette_Tanner
air force,11,18,-5.67,63.4,93.1,2021,Joe Scott,2_Joe_Scott
akron ,24,10,0.91,64.1,109.8,2021,John Groce,3_John_Groce
alabama ,19,14,14.62,73.2,108.1,2021,Nate Oats,5_Nate_Oats
alabama a&m,12,18,-14.43,68.3,88.5,2021,Dylan Howard,4_Dylan_Howard
alabama state,10,21,-12.05,71.4,96.7,2021,Mo Williams,6_Mo_Williams
albany  ,13,18,-9.8,65.8,93.6,2021,Dwayne Killings,306_Dwayne_Killings
alcorn state,17,17,-8.68,69,95.8,2021,Landon Bussie,7_Landon_Bussie
american,10,22,-15.38,66.8,94.3,2021,Mike Brennan,8_Mike_Brennan
appalachian state,19,15,-1.45,65.5,102,2021,Dustin Kerns,9_Dustin_Kerns
arizona ,33,4,22.75,72.7,114.7,2021,Tommy Lloyd,11_Tommy_Lloyd
arizona state,14,17,7.64,67.9,94.7,2021,Bobby Hurley,10_Bobby_Hurley
arkansas ,28,9,16.27,72,104.8,2021,Eric Musselman,12_Eric_Musselman
arkansas state,18,11,-3.27,69.5,101.5,2021,Mike Balado,13_Mike_Balado
arkansas-pine bluff,7,24,-18.96,69.3,95.3,2021,Solomon Bozeman,14_Solomon_Bozeman
army,15,16,-10.53,69.9,99.9,2021,Jimmy Allen,15_Jimmy_Allen
auburn ,28,6,19.2,71.3,108.1,2021,Bruce Pearl,16_Bruce_Pearl
austin peay,12,17,-10.02,66.1,96.6,2021,Nate James,17_Nate_James
ball state,14,17,-7.99,71.6,103.4,2021,James Whitford,19_James_Whitford
baylor ,27,7,21.73,68.6,111.5,2021,Scott Drew,20_Scott_Drew
bellarmine,20,13,-3.77,63.8,109.4,2021,Scott Davenport,21_Scott_Davenport
belmont,25,8,6.49,70.3,110.5,2021,Casey Alexander,22_Casey_Alexander
bethune-cookman,9,21,-14.7,67.4,93.3,2021,Reggie Theus,23_Reggie_Theus
binghamton,12,17,-10.41,67.3,100,2021,Levell Sanders,24_Levell_Sanders
boise state ,27,8,11.93,64.9,104.1,2021,Leon Rice,25_Leon_Rice
boston college,13,20,4.03,65.5,100.7,2021,Earl Grant,26_Earl_Grant
boston university,22,13,-5.07,65.3,106.9,2021,Joe Jones,27_Joe_Jones
bowling green state,13,18,-8.82,74.4,107.1,2021,Michael Huger,28_Michael_Huger
bradley,17,14,5.79,68.1,103.2,2021,Brian Wardle,29_Brian_Wardle
byu,24,11,10.05,69.1,106.7,2021,Mark Pope,18_Mark_Pope
brown,13,16,-3.32,69.7,101.8,2021,Mike Martin,30_Mike_Martin
bryant ,22,10,-4.8,73,106.1,2021,Jared Grasso,31_Jared_Grasso
bucknell,9,23,-14.62,68.3,101.8,2021,Nathan Davis,32_Nathan_Davis
buffalo,19,11,1.9,72.5,110.3,2021,Jim Whitesell,33_Jim_Whitesell
butler,14,19,4.45,64.9,97.2,2021,LaVall Jordan,34_LaVall_Jordan
cal poly,7,21,-10.6,65.5,92.5,2021,John Smith,35_John_Smith
cal state bakersfield,9,19,-7.57,65.6,98.9,2021,Rod Barnes,36_Rod_Barnes
cal state fullerton ,21,11,-0.04,67.2,104.2,2021,Dedrique Taylor,37_Dedrique_Taylor
cal state northridge,7,23,-12.02,65.7,92.5,2021,Trent Johnson,38_Trent_Johnson
california,12,20,3.96,64.9,96.4,2021,Mark Fox,
california baptist,18,16,-3.53,69.3,101.6,2021,Rick Croy,39_Rick_Croy
campbell,16,13,-4.84,63.9,102.7,2021,Kevin McGeehan,41_Kevin_McGeehan
canisius,11,21,-7.48,69.6,97.6,2021,Reggie Witherspoon,42_Reggie_Witherspoon
central arkansas,11,20,-13.83,73,99.4,2021,Anthony Boone,43_Anthony_Boone
central connecticut state,8,24,-17.43,66.2,92.2,2021,Patrick Sellers,44_Patrick_Sellers
central michigan,7,23,-12.56,68.8,95.4,2021,Tony Barbee,45_Tony_Barbee
charleston southern,6,25,-17.56,71.3,95.6,2021,Barclay Radebaugh *,47_Barclay_Radebaugh_*
charlotte,17,14,-1.62,66.7,105.1,2021,Ron Sanchez,48_Ron_Sanchez
chattanooga ,27,8,6.12,66,111.6,2021,Lamont Paris,49_Lamont_Paris
chicago state,7,25,-14.24,66.7,93,2021,Gerald Gillion,50_Gerald_Gillion
cincinnati,18,15,7.44,68.6,101.2,2021,Wes Miller,51_Wes_Miller
clemson,17,16,9.59,66.6,106.8,2021,Brad Brownell,52_Brad_Brownell
cleveland state,20,11,-1.78,68.7,107.5,2021,Dennis Gates,53_Dennis_Gates
coastal carolina,19,14,0.66,67.6,106.6,2021,Cliff Ellis,54_Cliff_Ellis
colgate ,23,12,0.98,67.6,111.4,2021,Matt Langel,55_Matt_Langel
college of charleston,17,15,0.52,74.3,104.5,2021,Pat Kelsey,46_Pat_Kelsey
colorado,21,12,9.82,68.4,103.2,2021,Tad Boyle,56_Tad_Boyle
colorado state ,25,6,11.51,66,110.4,2021,Niko Medved,57_Niko_Medved
columbia,4,22,-17.5,71,94.5,2021,Jim Engles,58_Jim_Engles
uconn,23,10,16.4,66.8,109.9,2021,Dan Hurley,314_Dan_Hurley
coppin state,9,23,-12.78,74.4,90,2021,Juan Dixon,59_Juan_Dixon
cornell,15,11,-3.41,73.5,107.2,2021,Brian Earl,60_Brian_Earl
creighton ,23,12,11.34,68.1,100.5,2021,Greg McDermott,61_Greg_McDermott
dartmouth,9,16,-4.12,66.8,100.8,2021,David McLaughlin,62_David_McLaughlin
davidson ,27,7,10.43,66.1,113.8,2021,Bob McKillop,63_Bob_McKillop
dayton,24,11,10.41,64.4,107.1,2021,Anthony Grant,64_Anthony_Grant
delaware ,22,13,0.32,68,107.2,2021,Martin Ingelsby,66_Martin_Ingelsby
delaware state,2,26,-22.63,71,88,2021,Stan Waterman,67_Stan_Waterman
denver,11,21,-10.12,68.5,101.7,2021,Jeff Wulbrun,68_Jeff_Wulbrun
depaul,15,16,7.83,70.4,103.7,2021,Tony Stubblefield,65_Tony_Stubblefield
detroit mercy,14,16,-6.33,65.8,107.5,2021,Mike Davis,69_Mike_Davis
drake,25,11,7.34,66.4,109,2021,Darian DeVries,70_Darian_DeVries
drexel,15,14,-0.29,68,106.1,2021,Zach Spiker,71_Zach_Spiker
duke ,32,7,19.55,68.2,117,2021,Mike Krzyzewski,72_Mike_Krzyzewski
duquesne,6,24,-6.34,66.9,95.9,2021,Keith Dambrot,73_Keith_Dambrot
east carolina,15,15,0.49,68.9,99,2021,Joe Dooley,74_Joe_Dooley
east tennessee state,15,17,-2.76,66.6,107.8,2021,Desmond Oliver,75_Desmond_Oliver
eastern illinois,5,26,-21.07,66.6,84.6,2021,Marty Simmons,77_Marty_Simmons
eastern kentucky,13,18,-6.75,73,106.5,2021,A.W. Hamilton,78_A.W._Hamilton
eastern michigan,10,21,-10.86,70.7,95.4,2021,Stan Heath,79_Stan_Heath
eastern washington,18,16,-5.2,71.6,106.5,2021,David Riley,80_David_Riley
elon,10,22,-6.15,67.3,99.8,2021,Mike Schrage,81_Mike_Schrage
evansville,6,24,-10.95,64.2,90.3,2021,Todd Lickliter,82_Todd_Lickliter
fairfield,15,18,-3.88,65.5,102.5,2021,Jay Young,83_Jay_Young
fdu,4,22,-18.13,70.4,94.6,2021,Greg Herenda,84_Greg_Herenda
florida,20,14,11.93,66.8,104.9,2021,Michael White,87_Michael_White
florida a&m,13,17,-12.05,67.3,95.9,2021,Robert McCullum,85_Robert_McCullum
florida atlantic,19,15,2.63,68.7,107.4,2021,Dusty May,86_Dusty_May
florida gulf coast,22,12,-3.07,70.3,108.1,2021,Michael Fly,88_Michael_Fly
florida international,15,17,-6.47,69,100.6,2021,Jeremy Ballard,89_Jeremy_Ballard
florida state,17,14,6.39,68.6,102.7,2021,Leonard Hamilton *,90_Leonard_Hamilton_*
fordham,16,16,-0.89,68.6,94.8,2021,Kyle Neptune *,91_Kyle_Neptune
fresno state,23,13,8.36,62.4,104.2,2021,Justin Hutson,92_Justin_Hutson
furman,22,12,6.2,66.1,115,2021,Bob Richey,93_Bob_Richey
gardner-webb,18,13,-2.35,69.7,99.7,2021,Tim Craft,94_Tim_Craft
george mason,14,16,4.18,66.6,104,2021,Kim English,95_Kim_English
george washington,12,18,-4.07,69.7,96.9,2021,Jamion Christian,96_Jamion_Christian
georgetown,6,25,1.71,71,99.5,2021,Patrick Ewing,97_Patrick_Ewing
georgia,6,26,-0.63,69.8,100,2021,Tom Crean,98_Tom_Crean
georgia southern,13,16,-7.04,67.1,98.1,2021,Brian Burg,99_Brian_Burg
georgia state ,18,11,-1.11,68.6,101.7,2021,Rob Lanier,100_Rob_Lanier
georgia tech,12,20,2.24,68.6,98.4,2021,Josh Pastner *,101_Josh_Pastner_*
gonzaga ,28,4,25.46,73.8,118.1,2021,Mark Few,102_Mark_Few
grambling,12,20,-12.35,70.5,92.8,2021,Donte Jackson,103_Donte_Jackson
grand canyon,23,8,5.81,67.7,105,2021,Bryce Drew,104_Bryce_Drew
green bay,5,25,-13.89,64.9,95.1,2021,Will Ryan,105_Will_Ryan
hampton,9,19,-13.54,69.2,92.8,2021,Edward Joyner Jr,106_Edward_Joyner_Jr
hartford,12,20,-10.03,67.1,103.7,2021,John Gallagher,
harvard,13,13,-4.68,69.7,101.1,2021,Tommy Amaker,107_Tommy_Amaker
hawaii,17,11,-0.52,66.2,104.1,2021,Eran Ganot,108_Eran_Ganot
high point,14,18,-6.53,67.7,100,2021,Tubby Smith,109_Tubby_Smith
hofstra,21,11,1.8,70.5,109.7,2021,Speedy Claxton,110_Speedy_Claxton
holy cross,9,22,-16.84,67.9,96.1,2021,Brett Nelson,111_Brett_Nelson
houston ,32,6,22.55,65,113.9,2021,Kelvin Sampson,113_Kelvin_Sampson
houston christian,11,18,-14.47,72.2,102.9,2021,Ron Cottrell,112_Ron_Cottrell
howard,16,13,-6.76,73.4,103.6,2021,Kenneth Blakeney,114_Kenneth_Blakeney
idaho,9,22,-13.19,71.3,101.5,2021,Zac Claus,117_Zac_Claus
idaho state,7,23,-14.96,65.9,97.2,2021,Ryan Looney,116_Ryan_Looney
illinois ,23,10,16.69,67.9,108.8,2021,Brad Underwood *,118_Brad_Underwood_*
illinois state,13,20,-0.78,69.2,104.4,2021,Dan Muller,119_Dan_Muller
illinois-chicago,14,16,-8.78,69.4,102.4,2021,Luke Yaklich,
incarnate word,7,25,-17.03,68.4,97.9,2021,Carson Cunningham,120_Carson_Cunningham
indiana ,21,14,12.71,67.9,103.2,2021,Mike Woodson,121_Mike_Woodson
indiana state,11,20,-3.49,69.4,99.4,2021,Josh Schertz,122_Josh_Schertz
iona,25,8,5.47,70.2,106.3,2021,Rick Pitino *,123_Rick_Pitino_*
iowa ,26,10,18.9,70.3,117.5,2021,Fran McCaffery,124_Fran_McCaffery
iowa state ,22,13,12.38,67.2,96.9,2021,T.J. Otzelberger,125_T.J._Otzelberger
iu indy,3,26,-23.61,63.4,82.7,2021,Matt Crenshaw,115_Matt_Crenshaw
jackson state,11,19,-10.1,65.9,92.1,2021,Wayne Brent,126_Wayne_Brent
jacksonville,21,10,-2.06,63.1,106,2021,Jordan Mincy,127_Jordan_Mincy
jacksonville state ,21,11,-0.19,66.9,108.6,2021,Ray Harper,128_Ray_Harper
james madison,15,14,-4.13,70.5,105.1,2021,Mark Byington,129_Mark_Byington
kansas ,34,6,22.28,69.5,111.5,2021,Bill Self,131_Bill_Self
kansas city,19,12,-5.49,70.2,106.2,2021,Billy Donlon,130_Billy_Donlon
kansas state,14,17,10.61,67.4,101.5,2021,Bruce Weber,132_Bruce_Weber
kennesaw state,13,18,-4.51,68.3,107.7,2021,Amir Abdur-Rahim,133_Amir_Abdur-Rahim
kent state,23,11,-0.13,67.5,105.6,2021,Rob Senderoff,134_Rob_Senderoff
kentucky ,26,8,20.9,69.2,114,2021,John Calipari *,135_John_Calipari_*
la salle,11,19,-3.5,68.4,97.4,2021,Ashley Howard,137_Ashley_Howard
lafayette,10,20,-12.6,66,100.7,2021,Fran O'Hanlon,138_Fran_O'Hanlon
lamar,2,27,-15.86,67.5,90.8,2021,Alvin Brooks,139_Alvin_Brooks
lehigh,13,19,-10.82,68.8,99.1,2021,Brett Reed,141_Brett_Reed
liberty,22,11,1.86,66,110.3,2021,Ritchie McKay,142_Ritchie_McKay
lipscomb,14,19,-8.42,71.2,104,2021,Lennie Acuff,143_Lennie_Acuff
little rock,9,19,-12.05,68,96.4,2021,Darrell Walker,144_Darrell_Walker
long beach state,20,13,-0.65,71.7,101.9,2021,Dan Monson,145_Dan_Monson
long island university,16,14,-7.62,73.3,101.2,2021,Derek Kellogg,146_Derek_Kellogg
longwood ,26,7,-0.35,67.8,110.8,2021,Griff Aldrich,147_Griff_Aldrich
louisiana,16,15,-2.71,70.5,100,2021,Bob Marlin,148_Bob_Marlin
louisiana state ,22,12,17.45,70.4,102.3,2021,Will Wade,162_Will_Wade
louisiana tech,24,10,5.23,70,107.4,2021,Eric Konkol,149_Eric_Konkol
louisiana-monroe,13,18,-8.7,69.7,102.6,2021,Keith Richard,316_Keith_Richard
louisville,13,19,4.23,67.5,98.9,2021,Mike Pegues,150_Chris_Mack
loyola (il) ,25,8,13.39,65.7,109.2,2021,Drew Valentine,151_Drew_Valentine
loyola (md),14,16,-8.4,66.7,98.3,2021,Tavaras Hardy,152_Tavaras_Hardy
loyola marymount,11,18,-1.93,67.5,101.8,2021,Stan Johnson,153_Stan_Johnson
maine,6,23,-18.38,66.6,93.8,2021,Jai Steadman,154_Richard_Barron
manhattan,15,15,-7.64,69.5,100.8,2021,Steve Masiello,155_Steve_Masiello
marist,14,16,-4.26,66.9,101.5,2021,John Dunne,156_John_Dunne
marquette ,19,13,11.36,71.6,102.7,2021,Shaka Smart,157_Shaka_Smart
marshall,12,21,-4.57,73.3,100.9,2021,Dan D'Antoni II,158_Dan_D'Antoni_II
maryland,15,17,9.34,67.4,104.4,2021,Mark Turgeon,160_Mark_Turgeon
maryland-baltimore county,18,14,-6.06,68.8,106.7,2021,Jim Ferry,317_Jim_Ferry
maryland-eastern shore,11,16,-13.1,70.1,93.1,2021,Jason Crafton,
massachusetts,15,17,-0.67,69.2,108.1,2021,Matt McCall,161_Matt_McCall
massachusetts-lowell,15,16,-7.08,68.9,101.8,2021,Pat Duquette,318_Pat_Duquette
mcneese,11,22,-11.76,74.2,103,2021,John Aiken,162_John_Aiken
memphis ,22,11,14.67,71,105.8,2021,Anfernee Hardaway,163_Anfernee_Hardaway
mercer,16,17,-3.41,66.3,105.5,2021,Greg Gary,164_Greg_Gary
merrimack,14,16,-10.86,64,95.2,2021,Joe Gallo,166_Joe_Gallo
miami (fl) ,26,11,11.22,67.8,108.6,2021,Jim Larranaga,168_Jim_Larranaga
miami (oh),14,18,-6.35,68.9,108.3,2021,Jack Owens,167_Jack_Owens
michigan ,19,15,14.26,67.5,107.7,2021,Juwan Howard,170_Juwan_Howard
michigan state ,23,13,13.18,67.9,106.4,2021,Tom Izzo,169_Tom_Izzo
middle tennessee,26,11,4.5,68.2,107.6,2021,Nick McDevitt,171_Nick_McDevitt
milwaukee,10,22,-13.19,68,95.3,2021,Pat Baldwin,172_Pat_Baldwin
minnesota,13,17,5.93,65.5,101.5,2021,Ben Johnson,173_Ben_Johnson
mississippi,13,19,6.72,67,100.5,2021,Kermit Davis Jr,220_Kermit_Davis_Jr
mississippi state,18,16,11.83,66.6,104.6,2021,Ben Howland,174_Ben_Howland
mississippi valley state,2,26,-22.15,72.6,90.5,2021,Lindsey Hunter Jr,175_Lindsey_Hunter_Jr
missouri,12,21,2.94,67.4,96.8,2021,Cuonzo Martin,177_Cuonzo_Martin
missouri state,23,11,8.29,68.1,112.7,2021,Dana Ford,176_Dana_Ford
monmouth,21,13,-0.39,67.1,101.5,2021,King Rice,178_King_Rice
montana,18,14,-6.48,67.5,106.5,2021,Travis DeCuire,179_Travis_DeCuire
montana state ,27,8,-0.26,69.5,108.9,2021,Danny Sprinkle,180_Danny_Sprinkle
morehead state,23,11,0.79,66.6,104.7,2021,Preston Spradlin,181_Preston_Spradlin
morgan state,13,15,-12.62,75.7,98.6,2021,Kevin Broadus,182_Kevin_Broadus
mount st. mary's,14,16,-8.2,65.3,100.5,2021,Dan Engelstad,183_Dan_Engelstad
murray state ,31,3,9.87,68.3,115.5,2021,Matt McMahon,184_Matt_McMahon
navy,21,11,-2.94,64.7,99.7,2021,Ed DeChellis,187_Ed_DeChellis
nc state,11,21,3.77,67.9,105.4,2021,Kevin Keatts,185_Kevin_Keatts
nebraska,10,22,3,72,99.8,2021,Fred Hoiberg,188_Fred_Hoiberg
nevada,13,18,3.71,71.2,101.8,2021,Steve Alford,189_Steve_Alford
nevada-las vegas,18,14,7.2,67,104.3,2021,Kevin Kruger,322_Kevin_Kruger
new hampshire,15,13,-6.32,63.6,108.2,2021,Bill Herrion,190_Bill_Herrion
new mexico,13,19,1.25,71.5,103,2021,Richard Pitino,191_Richard_Pitino
new mexico state ,27,7,7.11,68.3,105.7,2021,Chris Jans,192_Chris_Jans
new orleans,18,14,-7.88,74.9,102.2,2021,Mark Slessinger,193_Mark_Slessinger
niagara,14,16,-3.09,65.7,101.3,2021,Greg Paulus,194_Greg_Paulus
nicholls state,21,12,-3.62,72.5,107.5,2021,Austin Claunch,195_Austin_Claunch
njit,11,18,-14.63,67.3,92.4,2021,Brian Kennedy,186_Brian_Kennedy
norfolk state ,24,7,-3.91,70.7,105,2021,Robert Jones,196_Robert_Jones
north alabama,9,21,-11.33,70.6,97.4,2021,Tony Pujol,197_Tony_Pujol
north carolina ,29,10,15.5,70.3,109.7,2021,Hubert Davis,200_Hubert_Davis
north carolina a&t,12,20,-9.91,68.5,98.1,2021,Willie Jones,198_Willie_Jones
north carolina central,16,15,-11.39,70.9,101.5,2021,LeVelle Moton,199_LeVelle_Moton
north dakota,6,25,-16.57,69.4,100.9,2021,Paul Sather,201_Paul_Sather
north dakota state,23,10,-1.6,68.2,108,2021,David Richman,202_David_Richman
north florida,11,20,-8.35,69.1,98.4,2021,Matthew Driscoll,203_Matthew_Driscoll
north texas,25,7,8.98,60.6,106.5,2021,Grant McCasland,204_Grant_McCasland
northeastern,9,22,-6,65.4,97.5,2021,Bill Coen,205_Bill_Coen
northern arizona,9,23,-13.5,67.8,98.8,2021,Shane Burcar,206_Shane_Burcar
northern colorado,22,16,-4.53,70.7,109.2,2021,Steve Smiley,207_Steve_Smiley
northern illinois,9,21,-10.5,68.6,93.1,2021,Rashon Burno,208_Rashon_Burno
northern iowa,20,12,5.79,67.6,108,2021,Ben Jacobson,209_Ben_Jacobson
northern kentucky,20,12,-3.19,65.6,104.9,2021,Darrin Horn,210_Darrin_Horn
northwestern,15,16,8.91,68.8,104.4,2021,Chris Collins,212_Chris_Collins
northwestern state,9,23,-14.06,73.2,100.9,2021,Mike McConathy,211_Mike_McConathy
notre dame ,24,11,11.87,65.9,108.6,2021,Mike Brey,213_Mike_Brey
oakland,20,12,-1.52,69,107.3,2021,Greg Kampe,214_Greg_Kampe
ohio,25,10,1.5,69,107.3,2021,Jeff Boals,215_Jeff_Boals
ohio state ,20,12,14.17,65.1,110.9,2021,Chris Holtmann,216_Chris_Holtmann
oklahoma,19,16,14.12,66.1,103,2021,Porter Moser,217_Porter_Moser
oklahoma state,15,15,13.28,68.8,96.9,2021,Michael Boynton,218_Michael_Boynton
old dominion,13,19,-1.32,65.7,100.8,2021,Jeff Jones,219_Jeff_Jones
omaha,5,25,-16.99,71.4,97.4,2021,Derrin Hansen,221_Derrin_Hansen
oral roberts,19,12,-0.84,72.2,114.4,2021,Paul Mills,222_Paul_Mills
oregon,20,15,10.05,68.4,105,2021,Dana Altman,
oregon state,3,28,-1.44,67.8,99.1,2021,Wayne Tinkle,
pacific,8,22,-8.02,69.5,94.3,2021,Leonard Perry,225_Leonard_Perry
penn state,14,17,8.72,62.8,101.6,2021,Micah Shrewsberry,226_Micah_Shrewsberry
pennsylvania,12,16,-3.93,69,103.4,2021,Steve Donahue,227_Steve_Donahue
pepperdine,7,25,-7.04,71.7,94.4,2021,Lorenzo Romar,228_Lorenzo_Romar
pittsburgh,11,21,0.45,64.2,95.8,2021,Jeff Capel III *,229_Jeff_Capel_III_*
portland,19,15,-1.71,72,102.7,2021,Shantay Legans,230_Shantay_Legans
portland state,14,17,-7.7,72.2,101,2021,Jase Coburn,231_Jase_Coburn
prairie view,8,19,-10.47,71.8,95.5,2021,Byron Smith,232_Byron_Smith
presbyterian,12,20,-8.47,66.5,98.5,2021,Quinton Ferrell,233_Quinton_Ferrell
princeton,23,7,2.65,68.7,114.7,2021,Mitch Henderson,234_Mitch_Henderson
providence ,27,6,13.08,65.9,106.4,2021,Ed Cooley,235_Ed_Cooley
purdue ,29,8,19.15,66.7,117.8,2021,Matt Painter,236_Matt_Painter
purdue fort wayne,21,12,-5.59,69.4,104.3,2021,Jon Coffman,237_Jon_Coffman
quinnipiac,14,17,-5.56,69.3,103.2,2021,Baker Dunleavy,238_Baker_Dunleavy
radford,11,18,-9.23,65.4,95.3,2021,Darris Nichols,239_Darris_Nichols
rhode island,15,16,2.92,68.2,98.5,2021,David Cox,240_David_Cox
rice,16,17,-2.74,68.4,106.8,2021,Scott Pera,241_Scott_Pera
richmond ,24,13,7.07,67.4,104.8,2021,Chris Mooney,242_Chris_Mooney
rider,14,19,-5.87,68.3,98.2,2021,Kevin Baggett,243_Kevin_Baggett
robert morris,8,24,-12.5,67.7,101.7,2021,Andrew Toole,244_Andrew_Toole
rutgers ,18,14,8.78,65.5,102.9,2021,Steve Pikiell,245_Steve_Pikiell
