Coach_ID,conference_level,avg_NBA_Prob_first_year,avg_Transfer_Prob_first_year,avg_NBA_Prob_multi_year,avg_NBA_Prob_Change_multi_year,avg_Transfer_Prob_multi_year,avg_High_Transfer_first_year,avg_High_Transfer_multi_year,avg_high_transfer_prob_change_multi_year
124_Fran_McCaffery,P5,57.54716981132076,68.86792452830188,71.69811320754717,85.84905660377359,59.43396226415094,,,
125_T.J._Otzelberger,P5,71.69811320754717,75.47169811320755,51.886792452830186,72.64150943396226,50.943396226415096,,,
126_Mo_Williams,Other,29.18848167539267,21.727748691099478,6.476683937823833,14.766839378238341,28.497409326424872,12.30366492146597,43.523316062176164,67.35751295336787
126_Wayne_Brent,Other,70.81151832460732,6.806282722513089,38.34196891191709,4.66321243523316,24.093264248704664,16.75392670157068,56.994818652849744,79.27461139896373
127_Jordan_Mincy,Other,29.18848167539267,66.75392670157068,60.62176165803109,66.06217616580311,54.66321243523316,40.05235602094241,60.880829015544045,59.32642487046632
128_Ray_Harper,Other,74.60732984293193,35.07853403141361,36.26943005181347,47.15025906735752,47.66839378238342,41.361256544502616,6.7357512953367875,18.911917098445596
129_Mark_Byington,Other,92.40837696335078,11.780104712041885,81.0880829015544,84.71502590673575,50.0,89.79057591623037,57.51295336787565,38.34196891191709
12_Eric_Musselman,P5,97.16981132075472,61.32075471698113,50.943396226415096,59.43396226415094,19.811320754716977,,,
130_Billy_Donlon,Other,29.18848167539267,5.2356020942408374,38.34196891191709,49.48186528497409,77.46113989637306,10.471204188481675,22.020725388601036,13.21243523316062
130_Marvin_Menzies,Other,68.58638743455498,74.86910994764398,6.476683937823833,25.129533678756477,58.2901554404145,75.91623036649214,73.31606217616581,90.15544041450777
131_Bill_Self,P5,90.56603773584906,82.0754716981132,95.28301886792453,92.45283018867924,83.01886792452831,,,
132_Bruce_Weber,P5,7.0754716981132075,21.698113207547166,36.79245283018868,66.98113207547169,20.75471698113207,,,
132_Jerome_Tang,P5,73.58490566037736,45.28301886792453,64.15094339622641,37.735849056603776,22.64150943396226,,,
133_Amir_Abdur-Rahim,Other,29.18848167539267,29.05759162303665,71.76165803108809,77.97927461139896,45.59585492227979,38.7434554973822,61.398963730569946,63.47150259067358
133_Antoine_Pettway,Other,29.18848167539267,32.72251308900523,36.01036269430052,39.637305699481864,51.03626943005182,8.115183246073299,27.461139896373055,1.5544041450777202
134_Rob_Senderoff,Other,29.18848167539267,29.31937172774869,82.12435233160622,63.212435233160626,14.507772020725387,39.00523560209424,55.69948186528497,39.119170984455955
135_John_Calipari_*,P5,96.22641509433963,65.09433962264151,44.339622641509436,49.056603773584904,52.83018867924528,,,
136_Matt_McMahon,P5,47.16981132075472,13.207547169811317,30.18867924528302,52.83018867924528,13.207547169811317,,,
136_Will_Wade,P5,52.83018867924528,16.981132075471695,92.45283018867924,100.0,45.28301886792453,,,
137_Ashley_Howard,Other,29.18848167539267,92.93193717277487,61.13989637305699,66.58031088082902,94.55958549222798,14.397905759162304,92.2279792746114,94.81865284974094
137_Fran_Dunphy,Other,70.81151832460732,78.01047120418848,18.393782383419687,34.715025906735754,96.6321243523316,31.413612565445025,98.96373056994818,99.22279792746113
138_Fran_O'Hanlon,Other,29.18848167539267,5.7591623036649215,64.24870466321244,69.68911917098445,2.33160621761658,15.968586387434556,58.03108808290155,81.34715025906736
138_Mike_Jordan,Other,86.12565445026178,5.49738219895288,20.72538860103627,37.30569948186528,9.067357512953368,34.29319371727749,46.63212435233161,71.50259067357513
138_Mike_McGarvey,Other,83.50785340314137,12.827225130890053,6.476683937823833,3.6269430051813467,72.02072538860104,17.801047120418847,6.476683937823833,20.207253886010363
139_Alvin_Brooks,Other,29.18848167539267,36.38743455497382,19.4300518134715,35.49222797927461,93.52331606217616,30.89005235602094,6.994818652849741,14.766839378238341
13_Bryan_Hodgson,Other,,,37.04663212435233,10.880829015544041,5.958549222797927,,37.82383419689119,3.1088082901554404
13_Mike_Balado,Other,29.18848167539267,38.21989528795812,62.95336787564767,57.77202072538861,29.792746113989637,59.16230366492147,66.06217616580311,76.42487046632125
140_Nate_Champion,Other,29.18848167539267,79.31937172774869,73.05699481865285,79.27461139896373,12.953367875647666,27.225130890052355,96.11398963730569,98.70466321243524
141_Brett_Reed,Other,29.18848167539267,3.664921465968586,16.83937823834197,31.34715025906736,4.922279792746114,31.151832460732987,72.7979274611399,74.61139896373057
142_Ritchie_McKay,Other,29.18848167539267,13.874345549738221,74.35233160621762,72.279792746114,7.253886010362693,32.72251308900523,54.40414507772021,57.2538860103627
143_Lennie_Acuff,Other,84.29319371727748,45.54973821989529,37.30569948186528,41.19170984455959,61.13989637305699,58.90052356020943,34.4559585492228,35.233160621761655
144_Darrell_Walker,Other,69.76439790575915,83.50785340314137,68.9119170984456,72.02072538860104,87.30569948186529,56.282722513089,41.70984455958549,8.549222797927461
145_Dan_Monson,Other,74.60732984293193,52.35602094240838,51.554404145077726,59.84455958549223,6.7357512953367875,85.6020942408377,60.362694300518136,56.994818652849744
146_Derek_Kellogg,Other,29.18848167539267,9.68586387434555,77.720207253886,82.12435233160622,3.3678756476683938,2.094240837696335,95.07772020725389,94.30051813471503
146_Rod_Strickland,Other,77.4869109947644,34.29319371727749,6.476683937823833,10.492227979274611,34.715025906735754,20.680628272251308,8.290155440414509,25.38860103626943
147_Griff_Aldrich,Other,29.18848167539267,35.602094240837694,25.129533678756477,33.93782383419689,44.30051813471503,6.282722513089005,53.626943005181346,60.62176165803109
148_Bob_Marlin,Other,29.18848167539267,48.952879581151834,85.49222797927462,81.86528497409327,17.098445595854923,36.910994764397905,73.05699481865285,68.39378238341969
149_Eric_Konkol,Other,29.18848167539267,17.539267015706805,87.8238341968912,88.08290155440415,12.435233160621761,4.712041884816754,63.212435233160626,14.507772020725387
149_Talvin_Hester,Other,29.18848167539267,95.81151832460732,80.31088082901555,2.5906735751295336,54.145077720207254,50.26178010471204,76.42487046632125,40.67357512953368
14_Solomon_Bozeman,Other,59.554973821989535,27.225130890052355,50.259067357512954,57.51295336787565,8.549222797927461,23.036649214659686,20.984455958549223,40.932642487046635
150_Chris_Mack,P5,48.113207547169814,16.0377358490566,11.320754716981133,14.150943396226415,12.264150943396224,,,
150_Kenny_Payne,P5,19.339622641509436,14.150943396226412,6.60377358490566,6.60377358490566,0.9433962264150941,,,
151_Drew_Valentine,Other,91.62303664921467,64.13612565445025,88.3419689119171,89.63730569948186,47.40932642487047,85.86387434554975,33.93782383419689,10.103626943005182
152_Tavaras_Hardy,Other,29.18848167539267,9.424083769633508,55.95854922279793,63.98963730569949,17.875647668393782,13.612565445026178,28.497409326424872,46.89119170984456
153_Stan_Johnson,Other,94.50261780104712,6.282722513089005,89.11917098445595,90.15544041450777,79.27461139896373,18.586387434554975,50.77720207253886,4.145077720207254
154_Chris_Markwood,Other,29.18848167539267,83.7696335078534,36.787564766839374,46.1139896373057,34.4559585492228,25.916230366492147,36.26943005181347,50.51813471502591
154_Richard_Barron,Other,29.18848167539267,90.83769633507853,6.476683937823833,5.4404145077720205,81.60621761658031,3.926701570680628,0.7772020725388601,9.844559585492227
155_John_Gallagher,Other,29.18848167539267,41.361256544502616,6.476683937823833,25.129533678756477,39.89637305699482,90.83769633507853,3.1088082901554404,19.170984455958546
155_RaShawn_Stores,Other,29.18848167539267,92.14659685863874,24.093264248704664,41.45077720207254,62.95336787564767,2.486910994764398,5.958549222797927,15.544041450777202
155_Steve_Masiello,Other,29.18848167539267,1.5706806282722512,32.38341968911917,36.787564766839374,22.279792746113987,11.780104712041885,15.025906735751295,31.088082901554404
156_John_Dunne,Other,90.57591623036649,87.69633507853402,19.94818652849741,32.90155440414508,74.35233160621762,89.26701570680629,10.880829015544041,26.683937823834196
157_Shaka_Smart,P5,30.18867924528302,66.98113207547169,88.67924528301887,93.39622641509435,58.490566037735846,,,
158_Dan_D'Antoni_II,Other,89.79057591623037,31.93717277486911,74.87046632124353,77.2020725388601,42.2279792746114,92.14659685863874,71.50259067357513,54.66321243523316
159_Jason_Crafton,Other,29.18848167539267,54.712041884816756,34.4559585492228,43.26424870466321,61.398963730569946,53.403141361256544,19.689119170984455,44.30051813471503
15_Jimmy_Allen,Other,29.18848167539267,22.774869109947645,44.04145077720207,51.554404145077726,15.544041450777202,60.20942408376963,62.95336787564767,57.77202072538861
15_Kevin_Kuwik,Other,29.18848167539267,42.93193717277487,6.476683937823833,9.844559585492227,23.83419689119171,73.29842931937172,9.585492227979273,23.83419689119171
160_Kevin_Willard,P5,26.41509433962264,37.735849056603776,84.90566037735849,83.01886792452831,39.62264150943396,,,
160_Mark_Turgeon,P5,62.264150943396224,62.264150943396224,15.09433962264151,2.8301886792452833,50.0,,,
161_Frank_Martin,Other,69.10994764397905,81.67539267015707,98.44559585492227,98.96373056994818,73.57512953367875,93.717277486911,99.48186528497409,100.0
161_Matt_McCall,Other,,,31.088082901554404,19.4300518134715,79.01554404145078,,11.398963730569948,4.66321243523316
162_John_Aiken,Other,29.18848167539267,34.55497382198953,6.476683937823833,25.129533678756477,97.66839378238342,7.068062827225131,33.67875647668394,36.01036269430052
162_Will_Wade,Other,29.18848167539267,64.65968586387434,70.46632124352331,76.16580310880829,24.61139896373057,25.392670157068064,42.487046632124354,1.2953367875647668
163_Anfernee_Hardaway,Other,100.0,53.403141361256544,93.26424870466322,0.5181347150259068,44.81865284974093,96.59685863874346,75.64766839378238,26.94300518134715
164_Greg_Gary,Other,29.18848167539267,44.76439790575916,18.134715025906736,20.207253886010363,51.29533678756477,94.76439790575915,16.06217616580311,13.730569948186528
166_Joe_Gallo,Other,70.81151832460732,32.19895287958115,55.69948186528497,59.58549222797927,43.78238341968912,44.24083769633508,59.84455958549223,67.09844559585493
167_Jack_Owens,Other,29.18848167539267,1.3089005235602094,80.82901554404145,84.97409326424871,87.56476683937824,20.157068062827225,62.69430051813472,34.4559585492228
167_Travis_Steele,Other,85.34031413612566,62.04188481675392,89.63730569948186,90.93264248704664,85.23316062176166,69.89528795811518,74.09326424870466,65.28497409326425
168_Jim_Larranaga,P5,79.24528301886792,67.9245283018868,91.50943396226415,84.90566037735849,72.64150943396226,,,
169_Tom_Izzo,P5,74.52830188679245,83.9622641509434,45.28301886792453,63.20754716981132,82.0754716981132,,,
16_Bruce_Pearl,P5,85.84905660377359,48.113207547169814,66.0377358490566,75.47169811320755,68.86792452830188,,,
170_Juwan_Howard,P5,82.0754716981132,52.83018867924528,76.41509433962264,67.9245283018868,11.32075471698113,,,
171_Nick_McDevitt,Other,84.03141361256544,32.98429319371728,77.2020725388601,81.60621761658031,80.56994818652849,65.96858638743456,73.83419689119171,80.82901554404145
